n;Aerror;Rerror;Terror
3;1.2176808723236796;3.1749591639852546;0.0057421289945961
11;1.2196068891463938;3.1799810255421312;6.162464855054286e-11
25;1.219606889374557;3.17998102613704;3.174090299955607e-45
41;1.2196068893766543;3.1799810261425083;0.0
51;1.219606889320901;3.1799810259971384;0.0
71;1.2196068947141832;3.179981040059485;0.0
n;Aerror;Rerror;Terror
3;1.4899137313413373;2.155856616193538;0.004961708376814304
11;1.4922034744871127;2.1591697999077115;5.203372478193412e-11
25;1.4922034744954065;2.159169799919712;2.660077849741346e-45
41;1.492203474495411;2.159169799919719;0.0
51;1.4922034744954322;2.1591697999197494;0.0
71;1.4922034744897346;2.1591697999115054;0.0
n;Aerror;Rerror;Terror
3;0.34198406408751436;0.5536966659594342;0.019818680069311725
11;0.3387206739572649;0.5484130038693151;2.4037394139982187e-10
25;0.33871993658695965;0.548411810014038;1.2872615723859583e-44
41;19.948971557356035;32.29881213938966;0.0
51;415581.63648464123;672856.4009831371;0.0
71;1911892786068214.0;3095491201154227.0;0.0
n;Aerror;Rerror;Terror
3;0.8391660351860728;17.330108716433315;0.007984113693451964
11;0.8396601053502069;17.340312048430768;8.956913809041234e-11
25;0.8396601038470637;17.340312017388477;4.679682388365849e-45
41;0.8396600916045573;17.340311764561317;0.0
51;0.8396678332772511;17.340471642373103;0.0
71;2.2933757581050584;47.36184443735331;0.0
